pk,ispb,code,name
234,19324634,416,LAMARA SOCIEDADE DE CRÉDITO DIRETO S.A.
235,37414009,418,ZIPDIN SOLUÇÕES DIGITAIS SOCIEDADE DE CRÉDITO DIRETO S/A
236,38129006,419,NUMBRS SOCIEDADE DE CRÉDITO DIRETO S.A.
237,39343350,421,LAR COOPERATIVA DE CRÉDITO - LAR CREDI
238,58160789,422,Banco Safra S.A.
239,460065,423,COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS
240,3881423,425,"SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO                            "
241,11285104,426,"Biorc Financeira - Crédito, Financiamento e Investimento S.A.                   "
242,27302181,427,COOPERATIVA DE CREDITO DOS SERVIDORES DA UNIVERSIDADE FEDERAL DO ESPIRITO SANTO
243,39664698,428,CRED-SYSTEM SOCIEDADE DE CRÉDITO DIRETO S.A.
244,5676026,429,"Crediare S.A. - Crédito, financiamento e investimento                           "
245,204963,430,COOPERATIVA DE CREDITO RURAL SEARA - CREDISEARA
246,44077014,433,BR-CAPITAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
247,38224857,435,DELCRED SOCIEDADE DE CRÉDITO DIRETO S.A.
248,67030395,438,PLANNER TRUSTEE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
249,16695922,439,ID CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
250,82096447,440,CREDIBRF - COOPERATIVA DE CRÉDITO
251,87963450,442,MAGNETIS - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
252,39416705,443,CREDIHOME SOCIEDADE DE CRÉDITO DIRETO S.A.
253,40654622,444,TRINUS SOCIEDADE DE CRÉDITO DIRETO S.A.
254,35551187,445,"PLANTAE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO                            "
255,12392983,447,"MIRAE ASSET WEALTH MANAGEMENT (BRAZIL) CORRETORA DE CÂMBIO, TÍTULOS E VALORES MO"
256,39669186,448,HEMERA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
257,37555231,449,DMCARD SOCIEDADE DE CRÉDITO DIRETO S.A.
258,13203354,450,FITBANK PAGAMENTOS ELETRONICOS S.A.
259,40475846,451,J17 - SOCIEDADE DE CRÉDITO DIRETO S/A
260,39676772,452,CREDIFIT SOCIEDADE DE CRÉDITO DIRETO S.A.
261,41592532,454,MÉRITO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
262,60498557,456,Banco MUFG Brasil S.A.
263,39587424,457,UY3 SOCIEDADE DE CRÉDITO DIRETO S/A
264,7253654,458,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
265,4546162,459,COOPERATIVA DE CRÉDITO MÚTUO DE SERVIDORES PÚBLICOS DO ESTADO DE SÃO PAULO - CRE
266,42047025,460,UNAVANTI SOCIEDADE DE CRÉDITO DIRETO S/A
267,19540550,461,ASAAS GESTÃO FINANCEIRA INSTITUIÇÃO DE PAGAMENTO S.A.
268,39908427,462,STARK SOCIEDADE DE CRÉDITO DIRETO S.A.
269,40434681,463,AZUMI DISTRIBUIDORA DE TíTULOS E VALORES MOBILIáRIOS LTDA.
270,60518222,464,Banco Sumitomo Mitsui Brasileiro S.A.
271,40083667,465,CAPITAL CONSIG SOCIEDADE DE CRÉDITO DIRETO S.A.
272,33886862,467,"MASTER S/A CORRETORA DE CâMBIO, TíTULOS E VALORES MOBILIáRIOS                   "
273,4862600,468,"PORTOSEG S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO                           "
274,7138049,469,J&F DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
275,18394228,470,CDC SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESADE PEQUENO PORTE LTDA.
276,33466988,473,Banco Caixa Geral - Brasil S.A.
277,33042953,477,Citibank N.A.
278,11760553,478,"GAZINCRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO               "
279,60394079,479,Banco ItauBank S.A.
280,62331228,487,DEUTSCHE BANK S.A. - BANCO ALEMAO
281,46518205,488,"JPMorgan Chase Bank, National Association                                       "
282,49336860,492,ING Bank N.V.
283,44189447,495,Banco de La Provincia de Buenos Aires
284,32062580,505,Banco Credit Suisse (Brasil) S.A.
285,17352220,545,SENSO CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A
286,59118133,600,Banco Luso Brasileiro S.A.
287,31895683,604,Banco Industrial do Brasil S.A.
288,78626983,610,Banco VR S.A.
289,61820817,611,Banco Paulista S.A.
290,31880826,612,Banco Guanabara S.A.
291,60850229,613,Omni Banco S.A.
292,59285411,623,Banco Pan S.A.
293,61348538,626,BANCO C6 CONSIGNADO S.A.
294,58497702,630,BANCO LETSBANK S.A.
295,68900810,633,Banco Rendimento S.A.
296,17351180,634,BANCO TRIANGULO S.A.
297,60889128,637,BANCO SOFISA S.A.
298,62144175,643,Banco Pine S.A.
299,60872504,652,Itaú Unibanco Holding S.A.
300,61024352,653,BANCO VOITER S.A.
301,92874270,654,BANCO DIGIMAIS S.A.
302,59588111,655,Banco Votorantim S.A.
303,62232889,707,Banco Daycoval S.A.
304,78632767,712,Banco Ourinvest S.A.
305,80271455,720,BANCO RNX S.A.
306,558456,739,Banco Cetelem S.A.
307,517645,741,BANCO RIBEIRAO PRETO S.A.
308,795423,743,Banco Semear S.A.
309,33479023,745,Banco Citibank S.A.
310,30723886,746,Banco Modal S.A.
311,1023570,747,Banco Rabobank International Brasil S.A.
312,1181521,748,BANCO COOPERATIVO SICREDI S.A.
313,29030467,751,Scotiabank Brasil S.A. Banco Múltiplo
314,1522368,752,Banco BNP Paribas Brasil S.A.
315,74828799,753,Novo Banco Continental S.A. - Banco Múltiplo
316,76543115,754,Banco Sistema S.A.
317,62073200,755,Bank of America Merrill Lynch Banco Múltiplo S.A.
318,2038232,756,BANCO COOPERATIVO SICOOB S.A. - BANCO SICOOB
319,2318507,757,BANCO KEB HANA DO BRASIL S.A.
